Height_Data

node	height
0	263.7189582770059
1	332.72022402336825
2	397.70832230805723
3	191.36206458577487
4	157.57453541664793
5	212.37527397658408
6	230.27249145123372
7	177.02006881183866
8	90.03211016458609
9	298.9891535932635
10	182.69765026857198
11	159.23100585115964
12	295.99465183366726
13	193.32515981678222
14	499.09129070870745
15	494.7774525450991
16	203.3019452684948
17	187.96930848270517
18	485.75698223603456
19	215.87127208794945
20	315.1060406454463
21	266.83112514674934
22	70.10424831951481
23	267.11929847885966
24	265.8763700012002
25	574.4265560849434
26	681.6517873073926
27	131.7891842454437
28	216.89288066643684
29	725.2993542943603
30	335.5164124780136
31	450.0158545221756
32	140.16083098831143
33	458.1160858784389
34	341.60625218067804
35	640.6626741607458
36	287.8502747545359
37	238.27753080228624
38	482.7419453954582
39	501.28942743458504
40	844.3887575375157
41	457.2221237811568
42	579.2478788790404
43	677.1282241966329
44	413.02263906093845
45	945.1760797615739
46	367.4416554556305
47	613.6132164657927
48	518.2376508510173
49	887.03334068707
50	579.0937776048139
51	396.7615984433955
52	151.83735840117853
53	308.3071905497297
54	151.27738276404517
55	395.92244973580677
56	813.1292006818231
57	840.1481713762442
58	571.6578606908614
59	737.517063493924
60	150.1676560721471
61	739.7976243580841
62	394.34636509580065
63	673.2855271170114
64	212.0754509952934
65	236.7436897040117
66	634.6715341649704
67	258.53752237331247
68	249.05427406493453
69	199.23070062130523
70	150.92212331080574
71	345.9300404353396
72	702.6197426635403
73	446.27091842507497
74	115.64796963629215
75	787.6587008710334
76	624.9424406914528
77	563.4693968677276
78	1008.798117818682
79	389.1958162066259
80	496.2929804914694
81	536.653834435955
82	624.3868719802317
83	199.65246497552985
84	367.9827925023995
85	483.2191098398712
86	470.56337785468395
87	262.0384229028666
88	451.39859501600085
89	68.7592015349023
90	680.5336334047622
91	68.63046206718468
92	807.8757623795951
93	550.2538698177049
94	687.9961679048599
95	278.1125089266516
96	44.91650115741692
97	156.75330560177093
98	279.0117872859998
99	302.0623673180015
100	188.87243081297026
101	637.028524200887
102	359.38911974694696
103	334.8267041298039
104	343.7551685732785
105	741.0526928720462
106	731.3482234237117
107	208.30212052701071
108	346.3890421213462
109	259.0639365915356
110	686.7475608748724
111	539.478071803244
112	226.5232279398581
113	74.7574167327072
114	514.9179800981345
115	682.2330945469944
116	186.11451891746012
117	87.61369803548332
118	225.98438176013968
119	347.754102646962
120	651.9208115001057
121	501.33352048510505
122	135.92473265752835
123	444.840163904992
124	606.3941212771251
125	680.9389570084293
126	68.45675489510985
127	348.84684144006945
128	96.36222402452738
129	185.9906024220556
130	371.7662420449753
131	393.3232570854981
132	134.79190159115402
133	430.0248614280257
134	328.74034681037926
135	352.92367676002846
136	300.15645387529065
137	273.41415162946464
138	388.81383849804513
139	120.26540339807184
140	289.409917621037
141	257.41723051219935
142	256.45941472452586
143	359.2768035229147
144	500.80613885309725
145	354.3230694079801
